Name,Ticker,Sub-Sector
Tips Industries Ltd,TIPSINDLTD,Movies & TV Serials
Touchwood Entertainment Ltd,TOUCHWOOD,Advertising
UFO Moviez India Ltd,UFO,Movies & TV Serials
Uniinfo Telecom Services Ltd,UNIINFO,Telecom Services
Unistar Multimedia Ltd,UNISTRMU,Movies & TV Serials
VR Films & Studios Ltd,VRFILMS,Movies & TV Serials
Valiant Communications Ltd,VALIANT,Telecom Equipments
Vertoz Advertising Ltd,VERTOZ,Advertising
Vindhya Telelinks Ltd,VINDHYATEL,Telecom Equipments
Vision Corporation Ltd,VISIONCO,Movies & TV Serials
Vivo Collaboration Solutions Ltd,VIVO,Telecom Services
Vodafone Idea Ltd,IDEA,Telecom Services
WINPRO INDUSTRIES LIMITED,WINPRO,Advertising
Zee Entertainment Enterprises Ltd,ZEEL,TV Channels & Broadcasters
Zee Media Corporation Ltd,ZEEMEDIA,TV Channels & Broadcasters
Zomato Ltd,ZOMATO,Online Services
