Name,Ticker,Sub-Sector
State Trading Corporation of India Ltd,STCINDIA,Commodities Trading
Gayatri Projects Ltd,GAYAPROJ,Construction & Engineering
BGR Energy Systems Ltd,BGRENERGY,Construction & Engineering
Elecon Engineering Company Ltd,ELECON,Heavy Electrical Equipments
GKW Ltd,GKWLIMITED,Logistics
Ramky Infrastructure Ltd,RAMKY,Construction & Engineering
Oricon Enterprises Ltd,ORICONENT,Logistics
Man Industries India Ltd,MANINDS,Building Products - Pipes
Akash Infra-Projects Ltd,AKASH,Construction & Engineering
Hercules Hoists Ltd,HERCULES,Industrial Machinery
Arshiya Ltd,ARSHIYA,Logistics
Linc Pen & Plastics Ltd,LINCPEN,Stationery
Precision Wires India Ltd,PRECWIRE,Electrical Components & Equipments
Artemis Medicare Services Ltd,ARTEMISMED,Business Support Services
Maheshwari Logistics Ltd,MAHESHWARI,Logistics
Marine Electricals (India) Ltd,MARINE,Electrical Components & Equipments
Gujarat Apollo Industries Ltd,GUJAPOLLO,Industrial Machinery
HPL Electric & Power Ltd,HPL,Electrical Components & Equipments
Reliance Naval and Engineering Ltd,RNAVAL,Shipbuilding
AXISCADES Engineering Technologies Ltd,AXISCADES,Construction & Engineering
Jaypee Infratech Ltd,JPINFRATEC,Construction & Engineering
Walchandnagar Industries Ltd,WALCHANNAG,Industrial Machinery
Hind Rectifiers Ltd,HIRECT,Electrical Components & Equipments
Indo National Ltd,NIPPOBATRY,Batteries
Simplex Infrastructures Ltd,SIMPLEXINF,Construction & Engineering
Kothari Products Ltd,KOTHARIPRO,Commodities Trading
Sintercom India Ltd,SINTERCOM,Industrial Machinery
Eimco Elecon India Ltd,EIMCOELECO,Industrial Machinery
Thejo Engineering Ltd,THEJO,Construction & Engineering
Jash Engineering Ltd,JASH,Construction & Engineering
SORIL Infra Resources Ltd,SORILINFRA,Business Support Services
Swelect Energy Systems Ltd,SWELECTES,Electrical Components & Equipments
Rushil Decor Ltd,RUSHIL,Building Products - Laminates
Kabra Extrusion Technik Ltd,KABRAEXTRU,Industrial Machinery
Zuari Global Ltd,ZUARIGLOB,Conglomerates
Transformers and Rectifiers (India) Ltd,TRIL,Heavy Electrical Equipments
Shreyas Shipping and Logistics Ltd,SHREYAS,Logistics
Vascon Engineers Ltd,VASCONEQ,Construction & Engineering
Essar Shipping Ltd,ESSARSHPNG,Logistics
Urja Global Ltd,URJA,Renewable Energy Equipment & Services
TIL Ltd,TIL,Heavy Machinery
Sakuma Exports Ltd,SAKUMA,Commodities Trading
Salzer Electronics Ltd,SALZERELEC,Electrical Components & Equipments
B L Kashyap and Sons Ltd,BLKASHYAP,Construction & Engineering
Om Metals Infraprojects Ltd,OMMETALS,Construction & Engineering
RPP Infra Projects Ltd,RPPINFRA,Construction & Engineering
Mazda Ltd,MAZDA,Industrial Machinery
Revathi Equipment Ltd,REVATHI,Heavy Machinery
Commercial Engineers & Body Builders Co Ltd,CEBBCO,Heavy Machinery
Nitco Ltd,NITCO,Building Products - Ceramics
