Name,Ticker,Sub-Sector
Shah Alloys Ltd,SHAHALLOYS,Iron & Steel
Abm International Ltd,ABMINTLTD,Plastic Products
Sikko Industries Ltd,SIKKO,Fertilizers & Agro Chemicals
Burnpur Cement Ltd,BURNPUR,Cement
Mangalam Timber Products Ltd,MANGTIMBER,Wood Products
Rohit Ferro-Tech Ltd,ROHITFERRO,Metals - Diversified
Sathavahana Ispat Ltd,SATHAISPAT,Iron & Steel
Ankit Metal & Power Ltd,ANKITMETAL,Iron & Steel
Ganga Forging Ltd,GANGAFORGE,Iron & Steel
Omkar Speciality Chemicals Ltd,OMKARCHEM,Specialty Chemicals
Vadivarhe Speciality Chemicals Ltd,VSCL,Specialty Chemicals
Impex Ferro Tech Ltd,IMPEXFERRO,Iron & Steel
Chromatic India Ltd,CHROMATIC,Specialty Chemicals
A and M Jumbo Bags Ltd,AMJUMBO,Packaging
Sujana Universal Industries Ltd,SUJANAUNI,Iron & Steel
SMVD Poly Pack Ltd,SMVD,Packaging
Prolife Industries Ltd,PROLIFE,Commodity Chemicals
Bohra Industries Ltd,BOHRA,Fertilizers & Agro Chemicals
Ramsarup Industries Ltd,RAMSARUP,Iron & Steel
