NCH_SYMBOL,NCH_PREV_NAME,NCH_NEW_NAME,NCH_DT
ATCOM,ATCO TECHNOLOGIES LIMITED,Atcom Technologies Limited,03-May-00
ATFL,ITC Agro-tech Ltd,AGRO TECH FOODS LIMITED,18-Oct-00
ATGL,Adani Gas Limited,Adani Total Gas Limited,13-Jan-21
ATLASCYCLE,Atlas Cycle Industries Ltd.,Atlas Cycles (Haryana) Limited,27-Jun-01
ATNINT,ATN Arihant International Ltd.,ATN International Limited,20-Jul-98
ATUL,Atul Products Ltd,Atul Limited,31-Jul-96
AURUM,Majesco Limited,AURUM PROPTECH LIMITED,22-Oct-21
AUSOMENT,Core Emballage Ltd.,Ausom Enterprise Limited,01-Dec-09
AUTOAXLES,Automative Axles Ltd,Automotive Axles Limited,04-Jan-08
AVENTUS,Ratnaakar Infrastructure Limited,Aventus Buildcon Limited,03-Aug-17
AVROIND,Avon Moldplast Limited,AVRO INDIA LIMITED,01-Nov-19
AXISBANK,UTI Bank Ltd.,Axis Bank Limited,16-Aug-07
AXISBNKETF,Axis Mutual Fund - Axis Banking ETF,AXIS MUTUAL FUND - Axis NIFTY Bank ETF,01-Jul-22
AXISBPSETF,Axis Mutual Fund - Axis AAA Bond Plus SDL ETF - 2026 Maturity,AXIS MUTUAL FUND - Axis Nifty AAA Bond Plus SDL Apr 2026 50-50 ETF,01-Jul-22
AXISCADES,AXISCADES Engineering Technologies Limited,AXISCADES Technologies Limited,27-Nov-20
AXISCETF,Axis Mutual Fund - Axis Consumption ETF,AXIS MUTUAL FUND - Axis NIFTY India Consumption ETF,01-Jul-22
AXISHCETF,Axis Mutual Fund  - Axis Healthcare ETF,AXIS MUTUAL FUND - Axis NIFTY Healthcare ETF,01-Jul-22
AXISNIFTY,Axis Mutual Fund - AXIS NIFTY ETF,AXIS MUTUAL FUND - Axis NIFTY 50 ETF,01-Jul-22
AXISTECETF,Axis Mutual Fund - Axis Technology ETF,AXIS MUTUAL FUND - AXIS NIFTY IT ETF,01-Jul-22
AYMSYNTEX,Welspun Syntex Limited,AYM Syntex Limited,03-Feb-16
AZTECSOFT,Aztec Software and Technology Services Ltd.,Aztecsoft Limited,20-Sep-06
BABAFOOD,Sri Krishna Metcom Limited,Baba Agro Food Limited,27-May-19
BAGFILMS,B.A.G. Films Limited,B.A.G Films and Media Limited,29-Jun-07
BAJAJCON,Bajaj Corp Limited,Bajaj Consumer Care Limited,15-Jan-19
BAJAJHIND,Bajaj Hindusthan Limited,Bajaj Hindusthan Sugar Limited,02-Mar-15
BAJAJHLDNG,Bajaj Auto Ltd,Bajaj Holdings & Investment Limited,14-Mar-08
BAJFINANCE,Bajaj Auto Finance Limited,Bajaj Finance Limited,29-Sep-10
BALAXI,Balaxi Ventures Limited,BALAXI PHARMACEUTICALS LIMITED,20-Oct-20
BALKRISHNA,Nirvikara Paper Mills Limited,Balkrishna Paper Mills Limited,06-Sep-16
BALURTRANS,Balurghat Transport Co. Ltd,BALURGHAT TECHNOLOGIES LIMITED,14-Mar-01
BANKBEES,NIPPON INDIA ETF BANK BEES,Nippon India ETF Nifty Bank BeES,08-Jul-22
BANKBEES,Reliance ETF Bank BeES,NIPPON INDIA ETF BANK BEES,30-Oct-19
BAUSCHLOMB,Bausch & Lomb India Ltd,Rayban Sun Optics Limited,06-Jun-01
BBOX,AGC Networks Limited,Black Box Limited,03-Dec-21
BBOX,Avaya GlobalConnect Limited,AGC Networks Limited,08-Jun-10
BCG,Lycos Internet Limited,Brightcom Group Limited,08-Oct-18
BCG,Lycos Internet Limited,Brightcom Group Limited,08-Oct-18
BEML,Bharat Earth Movers Ltd,BEML Limited,30-Nov-07
BENTOLCHEM,BENTOLL CHEMICALS LTD.,Chemox Laboratories Limited,04-Jul-96
BHAGYNAGAR,Bhagyanagar Metals Limited,Bhagyanagar India Limited,12-Sep-06
BHARATFIN,SKS Microfinance Limited,Bharat Financial Inclusion Limited,01-Jul-16
BHARATIDIL,Bharati Shipyard Limited,Bharati Defence and Infrastructure Limited,26-Feb-16
BHARTIARTL,Bharti Tele-Ventures Ltd.,Bharti Airtel Limited,19-Jun-06
BHUPENIND,Bhupendra Industries Ltd,BIL Industries Limited,16-Sep-98
BIHARALLOY,Bihar Alloys Steel Ltd,Umi Special Steel Limited,09-Jul-97
BINANIZINC,Binani Zinc Ltd,Binani Industries Limited,13-Mar-97
BINDALAGRO,BINDAL AGROCHEMICALS LTD,Oswal Chemicals & Fertilizers Limited,06-Jul-96
BIRLACABLE,Birla Ericsson Optical Limited,Birla Cable Limited,26-Sep-16
BIRLACORPN,Birla Corp Ltd,Birla Corporation Limited,11-Nov-98
BIRLAMONEY,Apollo Sindhoori Capital Investments Limited,Aditya Birla Money Limited,09-Sep-09
BIRLAPOWER,Birla Yamaha Ltd.,Birla Power Solutions Limited,06-Jun-07
BKMINDST,Manaksia Industries Limited,Bkm Industries Limited,23-Nov-17
BKMINDST,Manaksia Industries Limited,BKM Industries Limited,23-Nov-17
BLUECOAST,Blue Coast Hotels and Resorts Limited,Blue Coast Hotels Limited,23-Nov-11
BOOTSPHARM,Knoll Pharmaceuticals Ltd.,Abbott India Limited,30-Sep-02
BORORENEW,Borosil Glass Works Limited,BOROSIL RENEWABLES LIMITED,20-Feb-20
BOSCHCHASY,Kalyani Brakes Ltd,Bosch Chassis Systems India Limited,10-Feb-06
BOSCHLTD,Motor Industries Co. Ltd.,Bosch Limited,28-Feb-08
BPLREFRIG,BPL Refrigeration Ltd,B S REFRIGERATORS LIMITED,07-Mar-01
BPLSANTECH,BPL Sanyo Technologies Ltd.,BST Limited,12-Dec-00
BPLSANUTIL,BPL Sanyo Utilities & Appliances Ltd,B S Appliances Limited,12-Dec-00
BRABOURNE,Searle (India) Ltd,Brabourne Enterprises Limited,14-Mar-08
BSELINFRA,BSEL Information Systems Limited,BSEL Infrastructure Realty Limited,12-Mar-04
BSLCAP25DG,Birla Sun Life CPOF Sr 25 - DP-GO,Aditya Birla Sun Life CPOF Sr 25 - DP-GO,28-Sep-17
BSLCAP25RG,Birla Sun Life CPOF Sr 25 - RP-GO,Aditya Birla Sun Life CPOF Sr 25 - RP-GO,28-Sep-17
BSLCAP26DG,Birla Sun Life CPOF Sr 26 - DP-GO,Aditya Birla Sun Life CPOF Sr 26 - DP-GO,28-Sep-17
BSLCAP26RG,Birla Sun Life CPOF Sr 26 - RP-GO,Aditya Birla Sun Life CPOF Sr 26 - RP-GO,28-Sep-17
BSLCAP29DG,Birla Sun Life CPOF Sr 29 - DP-GO,Aditya Birla Sun Life CPOF Sr 29 - DP-GO,28-Sep-17
BSLCAP29RG,Birla Sun Life CPOF Sr 29 - RP-GO,Aditya Birla Sun Life CPOF Sr 29 - RP-GO,28-Sep-17
BSLCAP30DG,Birla Sun Life CPOF - Sr 30 - DP-GO,Aditya Birla Sun Life CPOF - Sr 30 - DP-GO,28-Sep-17
BSLCAP30RG,Birla Sun Life CPOF - Sr 30 - RP-GO,Aditya Birla Sun Life CPOF - Sr 30 - RP-GO,28-Sep-17
BSLCPOF22D,Birla Sun Life CPOF Series 22 - DPGO,Aditya Birla Sun Life CPOF Series 22 - DPGO,28-Sep-17
BSLCPOF22R,Birla Sun Life CPOF Series 22 - RPGO,Aditya Birla Sun Life CPOF Series 22 - RPGO,28-Sep-17
BSLDAFSIDD,Birla Sun Life DAF - Sr I - DP-DPO,Aditya Birla Sun Life DAF - Sr I - DP-DPO,28-Sep-17
BSLDAFSIDG,Birla Sun Life DAF - Sr I - DP-GO,Aditya Birla Sun Life DAF - Sr I - DP-GO,28-Sep-17
BSLDAFSIRD,Birla Sun Life DAF - Sr I - RP-DPO,Aditya Birla Sun Life DAF - Sr I - RP-DPO,28-Sep-17
BSLDAFSIRG,Birla Sun Life DAF - Sr I - RP-GO,Aditya Birla Sun Life DAF - Sr I - RP-GO,28-Sep-17
BSLELF3DD,Birla Sun Life Emerging Leaders Fund -Series 3 - DPDP,Aditya Birla Sun Life Emerging Leaders Fund -Series 3 - DPDP,28-Sep-17
BSLELF3DG,Birla Sun Life Emerging Leaders Fund -Series 3 - DPG,Aditya Birla Sun Life Emerging Leaders Fund -Series 3 - DPG,28-Sep-17
BSLELF3RD,Birla Sun Life Emerging Leaders Fund -Series 3 - RPDP,Aditya Birla Sun Life Emerging Leaders Fund -Series 3 - RPDP,28-Sep-17
BSLELF3RG,Birla Sun Life Emerging Leaders Fund -Series 3 - RPG,Aditya Birla Sun Life Emerging Leaders Fund -Series 3 - RPG,28-Sep-17
BSLELF4DD,Birla Sun Life Emerging Leaders Fund  - Series 4 - DPDPO,Aditya Birla Sun Life Emerging Leaders Fund  - Series 4 - DPDPO,28-Sep-17
BSLELF4DG,Birla Sun Life Emerging Leaders Fund  - Series 4 - DPGO,Aditya Birla Sun Life Emerging Leaders Fund  - Series 4 - DPGO,28-Sep-17
BSLELF4RD,Birla Sun Life Emerging Leaders Fund  - Series 4 - RPDPO,Aditya Birla Sun Life Emerging Leaders Fund  - Series 4 - RPDPO,28-Sep-17
BSLELF4RG,Birla Sun Life Emerging Leaders Fund  - Series 4 - RPGO,Aditya Birla Sun Life Emerging Leaders Fund  - Series 4 - RPGO,28-Sep-17
BSLELFS5DG,Birla Sun Life ELF - Sr 5 - DP-GO,Aditya Birla Sun Life ELF - Sr 5 - DP-GO,28-Sep-17
BSLELFS5DN,Birla Sun Life ELF - Sr 5 - DP-DPO,Aditya Birla Sun Life ELF - Sr 5 - DP-DPO,28-Sep-17
BSLELFS5RG,Birla Sun Life ELF - Sr 5 - RP-GO,Aditya Birla Sun Life ELF - Sr 5 - RP-GO,28-Sep-17
BSLELFS5RN,Birla Sun Life ELF - Sr 5 - RP-DPO,Aditya Birla Sun Life ELF - Sr 5 - RP-DPO,28-Sep-17
BSLELFS6DG,Birla Sun Life ELF - Sr 6 - DP-GO,Aditya Birla Sun Life ELF - Sr 6 - DP-GO,28-Sep-17
BSLELFS6DN,Birla Sun Life ELF - Sr 6 - DP-DPO,Aditya Birla Sun Life ELF - Sr 6 - DP-DPO,28-Sep-17
BSLELFS6RG,Birla Sun Life ELF - Sr 6 - RP-GO,Aditya Birla Sun Life ELF - Sr 6 - RP-GO,28-Sep-17
BSLELFS6RN,Birla Sun Life ELF - Sr 6 - RP-DPO,Aditya Birla Sun Life ELF - Sr 6 - RP-DPO,28-Sep-17
BSLELFS7DD,Birla Sun Life ELF - S7 7 - DP-DPO,Aditya Birla Sun Life ELF - S7 7 - DP-DPO,28-Sep-17
BSLELFS7DG,Birla Sun Life ELF - S7 7 - DP-GO,Aditya Birla Sun Life ELF - S7 7 - DP-GO,28-Sep-17
BSLELFS7RD,Birla Sun Life ELF - S7 7 - RP-DPO,Aditya Birla Sun Life ELF - S7 7 - RP-DPO,28-Sep-17
BSLELFS7RG,Birla Sun Life ELF - S7 7 - RP-GO,Aditya Birla Sun Life ELF - S7 7 - RP-GO,28-Sep-17
BSLFEF4SRN,Birla Sun Life FEF - Series 3 - RP-DPO,Aditya Birla Sun Life FEF - Series 3 - RP-DPO,28-Sep-17
BSLFEFS2DG,Birla Sun Life FEF - Sr 2 - DP-GO,Aditya Birla Sun Life FEF - Sr 2 - DP-GO,28-Sep-17
BSLFEFS3DG,Birla Sun Life FEF  Series 4 - DP-GO,Aditya Birla Sun Life FEF  Series 4 - DP-GO,28-Sep-17
BSLFEFS3DN,Birla Sun Life FEF  Series 4 - DP-DPO,Aditya Birla Sun Life FEF  Series 4 - DP-DPO,28-Sep-17
BSLFEFS3RG,Birla Sun Life FEF  Series 4 - RP-GO,Aditya Birla Sun Life FEF  Series 4 - RP-GO,28-Sep-17
BSLFEFS3RN,Birla Sun Life FEF  Series 4 - RP-DPO,Aditya Birla Sun Life FEF  Series 4 - RP-DPO,28-Sep-17
BSLFEFS4DG,Birla Sun Life FEF - Series 3 - DP-GO,Aditya Birla Sun Life FEF - Series 3 - DP-GO,28-Sep-17
BSLFEFS4DN,Birla Sun Life FEF - Series 3 - DP-DPO,Aditya Birla Sun Life FEF - Series 3 - DP-DPO,28-Sep-17
BSLFEFS4RG,Birla Sun Life FEF - Series 3 - RP-GO,Aditya Birla Sun Life FEF - Series 3 - RP-GO,28-Sep-17
BSLFEFS5DG,Birla Sun Life Focused Equity Fund - Sr 5 - DP-GO,Aditya Birla Sun Life Focused Equity Fund - Sr 5 - DP-GO,28-Sep-17
BSLFEFS5DN,Birla Sun Life Focused Equity Fund - Sr 5 - DP-DPO,Aditya Birla Sun Life Focused Equity Fund - Sr 5 - DP-DPO,28-Sep-17
BSLFEFS5RG,Birla Sun Life Focused Equity Fund - Sr 5 - RP-GO,Aditya Birla Sun Life Focused Equity Fund - Sr 5 - RP-GO,28-Sep-17
BSLFEFS5RN,Birla Sun Life Focused Equity Fund - Sr 5 - RP-DPO,Aditya Birla Sun Life Focused Equity Fund - Sr 5 - RP-DPO,28-Sep-17
BSLFEFS6DG,Birla Sun Life FEFund - S 6 - DP - GO,Aditya Birla Sun Life FEFund - S 6 - DP - GO,28-Sep-17
